software_name
Remind Hub
Respondus LockDown Browser
Retrospect
Rev Transcription
Rev.com
RevAI
Revelio
Revelio database access fee
Rhino 8 (2 Licenses)
RhinoCam - Medsoft Corporation
Rhinoceros 3D - Version 8 Upgrade
Roam Research
RobinPowered
Rocket Broadcaster
Rode Central
RPI Yoga Connect - Intelligent Email Connector
Rstudio
Salesforce
Salesforce Sales Cloud
SALT
Sara Client Communication Software
SAS Education Analytical Suite for Windows and Mac
Scan Snap iX500
ScanSnap
Schedulista
School Sims
SciShield
SCLogic Intra
Scribe
Scribe Pro
Scrivener
SD12 Remote Software
SD5000-R annual software fee
SeBa
SEC API
SecurityStudio
Self Determination
Sensaphone Sentinel
SENTIO VR
Serial Cloner
ServiceNow
Sharp NEC-LED- DVLED Ticker
Shoflo
Shutterstock
Siemens - EDA Academic Program - Mentor Graphics (HEP)
Siemens Advanced Diffusion Tensor Imaging
Siemens RunMyVirtualMachine
Signals ChemDraw
Signals Notebook
Silhouette Studio
SimuCase
SIMULIA Abaqus
SIMULIA Abaqus Extended for Education
SIMULIA Suite
Siteground
SkanIt 7.1
Sketch Up Studio
Sketchup 2025
Sketchup Pro
SkillSetter
Slack
Slack Premium
SlateSafety
Slingshot Aerospace Database
Smart PLS 4
Smugmug
Snapgene
Snipe-IT Asset Management
Snowflake Data Warehouse
socrative
Softdocs' Etrieve
SOLIDWORKS
Solstice
Sona Systems
SoniCloud Monitoring - Professional
SonicWall Support
Sonix
Soundcloud
Source Matters
Sovos Compliance
Speechify
SpendLab
SPM12
SportsCam
Spotify
Spotlight Ticket Manager
Sprectrolite
Sprout Social
SPSS
Squarespace
SRDS Media Planning Platform
Stamps.com
StarRez
Stata
Stata 19
Stata 19/MP 2-core
Stata MP
STATA SE
Stata upgrade
Stata/MP 17 (2 cores)
Stata/MP 2-core
Stata/MP 4 cores or more (perpetual)
Stata/MP 4-core (2 years)
STATA/SE
Steam
Stratx CircularPRO
StreamGuys
Streamside Solutions
StreamYard
Stripe
Study App Template (Apple)
StyleGuard Pro
SumTotal
SupportSystem
Surfline Premium with Ads
SurgiCare Software
SurveyMonkey
Sycle
Synology drive client
T.O.V.A. 9 System
Tabby
Tableau
TactileView
Tactus Aphasia Elements
Tactus Clinical Tools for SLP
Tactus Language Therapy 4-in-1
Talent LMS
Tango
Tassel
TeamViewer
TeamViewer Enterprise Integration
Technolutions Slate
Tecplot
Telaeris Xpress Entry System
Temp Stick
Texifier
Textedly: Text Message Marketing
Textlane
Thomson Reuters - PPC Guide to Tax Planning for High Income Individuals
Thorium Reader
Ticktick
Time2Track
TinyURL
TMA Systems
Tobi Pro Lab
TOFSim (requires LabView for function)
Topaz - SigPlusExtLite Browser Extension
Trac Media
TrackMan HS V3 XV
TRAKPRO Data Analysis Software
TranscribeMe transcription services
TreeComp
Trello
Trello Premium
Tremendous
Trint
TrueNAS Community Edition
TruMedia
Trust & Will
Turf Tank
Twine
Twisted Wave
Uberduck
Ubuntu 24
Unzip One: RAR ZIP Extractor
VALT: VIDEO AUDIO LEARNING TOOL with BEAM
Vectorworks 2026 (Spotlight Edition)
Veeam Backup & Replication
VEEAM Backup (SHI Purchase)
Veeam Data Platform Advanced
Vegas Pro Suite 23
Vela Encompass
Vela Luna
Venngage
VeraCrypt
Vicon Nexus
Vicon Nexus 2.0
Vimeo
Vimeo Business
VimSoft
Virtru Email Encryption for Gmail
Visio
Vision 10
VISME
Visual 3D
Visual Studio
Visual Studio Code
VitalSource LTI 1.3 for Canvas
Vivenu
Vlite
vMix 4K
Vocal Video
Voice Analyst - iPad App
VWO A/B testing platform
Waitwhile
Wall Street Prep
Watchman Payment Systems
Watermark Faculty Success
Watermark Insights
WCOnline
Weave Chat AAC
Webdiver
WebTMA
Weebly
Welphi
Wharton Research Data Services (WRDS)
whisper-transcription
WideOrbit Payments Suite
Widex CompassGPS4.9.6365
Windows 11 Pro
wineVDM
Wireless Workbench 7
Wix
WMT Beta Program
Wolfram Mathematica
Wordfence
WordPress Engine
Workforce
WP Activity Log
WP Migrate Pro
WP-GLogin
WPForms
WPForms Pro
Writeful
Writehuman
Writing for Green
Wufoo
X-Win 32
XAMPP
XAP
xplorer 2
YAMM (Yet Another Mail Merge)
YesLMS
Yet Another Mail Merge (YAMM)
YouCanBookMe
Zabbix
Zeiss Microscope Control Program
Zen Browser
Zendesk Chat Professional
Zerene Stacker
Zoho One
Zoom
Zoom Virtual Agent for Voice
Zotero
ZyBooks
